====== He (2727.6) into ARGON                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 60000.E+03 A ;
  Layer # 1- Density = 5.372E19 atoms/cm3 = .0035 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600000.E+00  3166.65E-05  1973.68E-09
120000.E+01  3171.65E-05  1119.11E-09
180000.E+01  3187.16E-05  2468.31E-09
240000.E+01  3202.61E-05  1739.53E-08
300000.E+01  3211.96E-05  3362.47E-09
360000.E+01  3225.60E-05  6013.20E-09
420000.E+01  3243.83E-05  3467.32E-09
480000.E+01  3263.82E-05  2845.69E-09
540000.E+01  3283.84E-05  2825.07E-09
600000.E+01  3299.80E-05  3153.05E-09
660000.E+01  3314.88E-05  9838.85E-09
720000.E+01  3329.89E-05  6262.69E-08
780000.E+01  3347.49E-05  5251.83E-09
840000.E+01  3363.27E-05  2977.52E-09
900000.E+01  3382.47E-05  2632.87E-09
960000.E+01  3403.07E-05  3466.92E-09
102000.E+02  3421.55E-05  2539.58E-09
108000.E+02  3441.00E-05  3827.84E-09
114000.E+02  3459.79E-05  5689.71E-09
120000.E+02  3482.02E-05  6840.24E-09
126000.E+02  3502.52E-05  6465.74E-08
132000.E+02  3523.02E-05  1328.11E-08
138000.E+02  3543.68E-05  8080.22E-08
144000.E+02  3565.14E-05  8875.70E-09
150000.E+02  3587.24E-05  4130.05E-08
156000.E+02  3607.97E-05  5469.34E-09
162000.E+02  3628.52E-05  2744.89E-09
168000.E+02  3650.75E-05  4021.96E-09
174000.E+02  3674.66E-05  1315.26E-08
180000.E+02  3701.52E-05  6113.19E-09
186000.E+02  3728.23E-05  3704.88E-09
192000.E+02  3753.74E-05  7520.82E-09
198000.E+02  3781.40E-05  7271.32E-09
204000.E+02  3806.23E-05  3992.31E-09
210000.E+02  3835.09E-05  3997.05E-09
216000.E+02  3863.10E-05  7335.14E-09
222000.E+02  3888.70E-05  5846.64E-09
228000.E+02  3916.67E-05  5813.52E-09
234000.E+02  3946.58E-05  2755.24E-08
240000.E+02  3976.16E-05  8993.31E-09
246000.E+02  4006.42E-05  6888.21E-09
252000.E+02  4033.66E-05  6261.28E-09
258000.E+02  4063.93E-05  4210.30E-09
264000.E+02  4093.99E-05  9538.53E-09
270000.E+02  4126.67E-05  1638.26E-08
276000.E+02  4164.10E-05  1573.44E-08
282000.E+02  4199.57E-05  7275.06E-09
288000.E+02  4232.03E-05  4458.72E-09
294000.E+02  4264.02E-05  5630.06E-09
300000.E+02  4295.49E-05  1372.83E-08
306000.E+02  4332.39E-05  1411.61E-08
312000.E+02  4367.37E-05  1676.10E-08
318000.E+02  4396.67E-05  5594.77E-09
324000.E+02  4430.83E-05  1104.92E-08
330000.E+02  4462.15E-05  9311.68E-09
336000.E+02  4496.98E-05  9877.37E-09
342000.E+02  4532.87E-05  8149.65E-09
348000.E+02  4559.68E-05  1174.46E-08
354000.E+02  4588.00E-05  8825.78E-09
360000.E+02  4616.47E-05  1225.89E-08
366000.E+02  4640.49E-05  1140.94E-08
372000.E+02  4657.57E-05  2634.35E-08
378000.E+02  4673.64E-05  1127.69E-08
384000.E+02  4688.43E-05  2009.53E-08
390000.E+02  4690.16E-05  2302.76E-08
396000.E+02  4684.58E-05  3047.95E-08
402000.E+02  4668.00E-05  1597.79E-08
408000.E+02  4641.34E-05  1634.29E-08
414000.E+02  4607.90E-05  3033.71E-08
420000.E+02  4560.09E-05  1666.99E-08
426000.E+02  4485.52E-05  2080.15E-08
432000.E+02  4393.79E-05  2037.84E-08
438000.E+02  4298.18E-05  2840.12E-08
444000.E+02  4175.91E-05  2648.24E-08
450000.E+02  4035.03E-05  2583.72E-08
456000.E+02  3881.03E-05  2884.35E-08
462000.E+02  3715.84E-05  3011.01E-08
468000.E+02  3541.02E-05  2835.24E-08
474000.E+02  3370.71E-05  3987.25E-08
480000.E+02  3223.76E-05  4920.46E-08
486000.E+02  3069.37E-05  3716.42E-08
492000.E+02  2928.51E-05  4170.39E-08
498000.E+02  2783.77E-05  5056.05E-08
504000.E+02  2644.20E-05  6128.25E-08
510000.E+02  2480.33E-05  7568.57E-08
516000.E+02  2286.66E-05  8756.20E-08
522000.E+02  2067.59E-05  9446.53E-08
528000.E+02  1862.46E-05  9857.44E-08
534000.E+02  1661.88E-05  1182.71E-07
540000.E+02  1459.72E-05  1518.44E-07
546000.E+02  1289.26E-05  1678.94E-07
552000.E+02  1113.12E-05  2006.73E-07
558000.E+02  9323.89E-06  2185.83E-07
564000.E+02  7134.06E-06  2193.42E-07
570000.E+02  4945.97E-06  1887.11E-07
576000.E+02  2908.76E-06  1382.69E-07
582000.E+02  1401.11E-06  7832.02E-08
588000.E+02  4955.21E-07  3250.76E-08
594000.E+02  1416.45E-07  9884.94E-09
600000.E+02  3547.68E-08  2544.32E-09
