====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 40000.E+04 A ;
  Layer # 1- Density = 5.372E19 atoms/cm3 = .0035 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400000.E+01  5634.12E-06  1151.11E-10
800000.E+01  5650.64E-06  1425.70E-09
120000.E+02  5666.80E-06  4113.27E-10
160000.E+02  5702.45E-06  5439.84E-09
200000.E+02  5728.18E-06  3399.66E-10
240000.E+02  5752.50E-06  6197.24E-10
280000.E+02  5783.49E-06  9668.05E-10
320000.E+02  5816.71E-06  4520.58E-10
360000.E+02  5843.66E-06  5952.69E-10
400000.E+02  5872.00E-06  3997.09E-10
440000.E+02  5905.74E-06  4897.36E-10
480000.E+02  5944.03E-06  4417.01E-09
520000.E+02  5985.61E-06  3431.76E-10
560000.E+02  6020.12E-06  6543.81E-10
600000.E+02  6054.77E-06  4164.61E-10
640000.E+02  6089.60E-06  1299.59E-09
680000.E+02  6125.39E-06  2329.10E-09
720000.E+02  6161.32E-06  9082.95E-10
760000.E+02  6201.58E-06  1531.87E-09
800000.E+02  6244.32E-06  4850.89E-10
840000.E+02  6271.38E-06  2188.27E-09
880000.E+02  6311.39E-06  3859.37E-10
920000.E+02  6359.66E-06  6931.56E-10
960000.E+02  6406.89E-06  6562.25E-10
100000.E+03  6451.54E-06  9667.49E-09
104000.E+03  6496.40E-06  1660.92E-09
108000.E+03  6536.99E-06  7548.67E-10
112000.E+03  6578.67E-06  8618.31E-10
116000.E+03  6620.41E-06  6351.44E-10
120000.E+03  6678.40E-06  1110.75E-09
124000.E+03  6733.26E-06  8119.63E-09
128000.E+03  6781.57E-06  5176.04E-10
132000.E+03  6832.99E-06  1282.95E-09
136000.E+03  6892.36E-06  5711.91E-10
140000.E+03  6952.91E-06  5390.87E-10
144000.E+03  7005.31E-06  7108.05E-10
148000.E+03  7081.93E-06  9212.82E-10
152000.E+03  7140.44E-06  6408.05E-09
156000.E+03  7185.09E-06  1997.29E-09
160000.E+03  7254.69E-06  9100.34E-10
164000.E+03  7326.74E-06  9307.17E-10
168000.E+03  7384.86E-06  9338.27E-10
172000.E+03  7454.72E-06  1275.71E-09
176000.E+03  7548.98E-06  6450.15E-09
180000.E+03  7632.49E-06  5407.57E-09
184000.E+03  7704.10E-06  8596.88E-10
188000.E+03  7790.94E-06  6761.34E-10
192000.E+03  7876.99E-06  7582.50E-10
196000.E+03  7962.97E-06  1068.19E-09
200000.E+03  8055.66E-06  7279.17E-10
204000.E+03  8166.27E-06  1434.84E-09
208000.E+03  8272.21E-06  1857.98E-09
212000.E+03  8384.01E-06  1381.66E-09
216000.E+03  8491.50E-06  1525.70E-09
220000.E+03  8621.26E-06  1753.15E-09
224000.E+03  8750.35E-06  1252.43E-09
228000.E+03  8893.54E-06  5092.92E-09
232000.E+03  9029.97E-06  1857.30E-09
236000.E+03  9208.26E-06  1572.54E-09
240000.E+03  9378.23E-06  1559.32E-09
244000.E+03  9553.92E-06  1280.03E-09
248000.E+03  9760.97E-06  1296.81E-09
252000.E+03  9983.54E-06  1743.33E-09
256000.E+03  1022.16E-05  1358.90E-09
260000.E+03  1049.77E-05  2727.46E-09
264000.E+03  1079.16E-05  1791.07E-09
268000.E+03  1113.45E-05  5036.54E-09
272000.E+03  1149.52E-05  3782.40E-09
276000.E+03  1192.66E-05  2142.42E-09
280000.E+03  1242.68E-05  5104.62E-09
284000.E+03  1297.23E-05  4219.06E-09
288000.E+03  1364.11E-05  4986.45E-09
292000.E+03  1442.12E-05  4256.06E-09
296000.E+03  1532.89E-05  4460.54E-09
300000.E+03  1630.82E-05  5309.16E-09
304000.E+03  1718.91E-05  5511.31E-09
308000.E+03  1759.76E-05  7563.39E-09
312000.E+03  1685.22E-05  1036.59E-08
316000.E+03  1434.44E-05  1885.94E-08
320000.E+03  1017.18E-05  2846.19E-08
324000.E+03  5281.37E-06  3053.25E-08
328000.E+03  1662.63E-06  1556.50E-08
332000.E+03  2761.87E-07  3783.64E-09
336000.E+03  1977.36E-08  3625.23E-10
340000.E+03  2111.67E-10  1205.02E-11
344000.E+03  0000.00E+00  0000.00E+00
348000.E+03  0000.00E+00  0000.00E+00
352000.E+03  0000.00E+00  0000.00E+00
356000.E+03  0000.00E+00  0000.00E+00
360000.E+03  0000.00E+00  0000.00E+00
364000.E+03  0000.00E+00  0000.00E+00
368000.E+03  0000.00E+00  0000.00E+00
372000.E+03  0000.00E+00  0000.00E+00
376000.E+03  0000.00E+00  0000.00E+00
380000.E+03  0000.00E+00  0000.00E+00
384000.E+03  0000.00E+00  0000.00E+00
388000.E+03  0000.00E+00  0000.00E+00
392000.E+03  0000.00E+00  0000.00E+00
396000.E+03  0000.00E+00  0000.00E+00
400000.E+03  0000.00E+00  0000.00E+00
