====== He (2727.6) into ARGON                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 13000.E+04 A ;
  Layer # 1- Density = 2.610E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
130000.E+01  1541.19E-05  5342.99E-10
260000.E+01  1542.89E-05  8356.77E-10
390000.E+01  1549.53E-05  8457.78E-09
520000.E+01  1559.26E-05  1237.67E-09
650000.E+01  1563.93E-05  1294.05E-09
780000.E+01  1570.43E-05  3729.39E-09
910000.E+01  1578.92E-05  2426.64E-09
104000.E+02  1589.49E-05  4402.58E-09
117000.E+02  1598.85E-05  3845.00E-09
130000.E+02  1606.51E-05  2074.29E-09
143000.E+02  1614.30E-05  2913.67E-08
156000.E+02  1623.26E-05  5221.06E-09
169000.E+02  1632.57E-05  4624.50E-08
182000.E+02  1641.45E-05  5212.86E-09
195000.E+02  1650.86E-05  6016.73E-09
208000.E+02  1660.88E-05  1505.33E-09
221000.E+02  1672.22E-05  1243.36E-09
234000.E+02  1682.47E-05  1285.19E-09
247000.E+02  1692.37E-05  7372.40E-09
260000.E+02  1702.62E-05  2844.99E-09
273000.E+02  1712.01E-05  1575.62E-08
286000.E+02  1723.32E-05  1824.61E-08
299000.E+02  1735.10E-05  1918.84E-09
312000.E+02  1747.57E-05  4032.59E-09
325000.E+02  1758.37E-05  2664.24E-09
338000.E+02  1770.02E-05  2582.02E-09
351000.E+02  1780.96E-05  2927.33E-09
364000.E+02  1792.17E-05  8641.14E-09
377000.E+02  1806.59E-05  1070.60E-08
390000.E+02  1821.25E-05  2146.61E-09
403000.E+02  1836.89E-05  8657.19E-09
416000.E+02  1848.69E-05  2313.17E-09
429000.E+02  1862.48E-05  2211.78E-09
442000.E+02  1875.31E-05  2150.48E-09
455000.E+02  1887.77E-05  3075.81E-09
468000.E+02  1901.90E-05  3148.01E-09
481000.E+02  1916.05E-05  3144.57E-09
494000.E+02  1931.00E-05  4521.87E-09
507000.E+02  1946.85E-05  4186.80E-09
520000.E+02  1961.95E-05  3275.51E-09
533000.E+02  1976.97E-05  2265.13E-09
546000.E+02  1993.96E-05  4618.26E-09
559000.E+02  2009.98E-05  4549.39E-09
572000.E+02  2027.30E-05  7768.04E-09
585000.E+02  2045.86E-05  2118.91E-09
598000.E+02  2061.99E-05  4069.22E-09
611000.E+02  2078.03E-05  2629.58E-09
624000.E+02  2095.17E-05  9323.23E-09
637000.E+02  2112.28E-05  4030.84E-09
650000.E+02  2127.66E-05  9419.76E-09
663000.E+02  2147.23E-05  4939.89E-09
676000.E+02  2167.19E-05  5198.43E-09
689000.E+02  2183.35E-05  5235.48E-09
702000.E+02  2201.75E-05  5829.20E-09
715000.E+02  2215.63E-05  5430.64E-09
728000.E+02  2227.72E-05  4073.61E-09
741000.E+02  2242.71E-05  1142.05E-08
754000.E+02  2256.44E-05  4205.15E-09
767000.E+02  2265.03E-05  9516.32E-09
780000.E+02  2269.41E-05  1039.84E-08
793000.E+02  2275.48E-05  5246.41E-09
806000.E+02  2278.34E-05  1063.40E-08
819000.E+02  2272.57E-05  1262.84E-08
832000.E+02  2263.76E-05  8023.86E-09
845000.E+02  2250.11E-05  6481.90E-09
858000.E+02  2224.98E-05  1007.63E-08
871000.E+02  2200.53E-05  1440.89E-08
884000.E+02  2152.99E-05  7691.02E-09
897000.E+02  2104.94E-05  1394.31E-08
910000.E+02  2047.64E-05  1172.39E-08
923000.E+02  1975.44E-05  1183.10E-08
936000.E+02  1898.71E-05  1232.14E-08
949000.E+02  1817.36E-05  1533.99E-08
962000.E+02  1731.83E-05  1642.94E-08
975000.E+02  1645.07E-05  1767.11E-08
988000.E+02  1565.87E-05  2210.47E-08
100100.E+03  1489.96E-05  1816.29E-08
101400.E+03  1417.64E-05  2087.18E-08
102700.E+03  1342.94E-05  2573.06E-08
104000.E+03  1268.13E-05  2990.24E-08
105300.E+03  1180.46E-05  3520.06E-08
106600.E+03  1074.46E-05  3949.28E-08
107900.E+03  9714.94E-06  4479.01E-08
109200.E+03  8643.23E-06  5284.16E-08
110500.E+03  7626.37E-06  6806.40E-08
111800.E+03  6671.10E-06  7910.13E-08
113100.E+03  5775.09E-06  9179.86E-08
114400.E+03  4862.89E-06  1045.64E-07
115700.E+03  3742.00E-06  1072.95E-07
117000.E+03  2639.56E-06  9425.94E-08
118300.E+03  1589.05E-06  7106.47E-08
119600.E+03  7721.21E-07  4231.56E-08
120900.E+03  2818.07E-07  1723.34E-08
122200.E+03  7616.82E-08  5423.58E-09
123500.E+03  1875.85E-08  1538.98E-09
124800.E+03  1437.89E-09  1291.37E-10
126100.E+03  3094.24E-11  2679.39E-12
127400.E+03  0000.00E+00  0000.00E+00
128700.E+03  0000.00E+00  0000.00E+00
130000.E+03  0000.00E+00  0000.00E+00
