====== He (2727.6) into ARGON                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 40000.E+03 A ;
  Layer # 1- Density = 8.058E19 atoms/cm3 = .0053 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400000.E+00  4753.89E-05  4795.14E-10
800000.E+00  4766.13E-05  2209.22E-09
120000.E+01  4777.70E-05  6315.96E-09
160000.E+01  4795.34E-05  7774.53E-09
200000.E+01  4808.64E-05  8458.54E-09
240000.E+01  4832.79E-05  8713.48E-09
280000.E+01  4859.82E-05  8542.11E-09
320000.E+01  4888.45E-05  1221.12E-08
360000.E+01  4915.39E-05  5372.55E-09
400000.E+01  4938.09E-05  6545.10E-09
440000.E+01  4969.45E-05  7955.33E-09
480000.E+01  5011.12E-05  1434.21E-07
520000.E+01  5015.79E-05  6320.21E-09
560000.E+01  5041.59E-05  4627.36E-09
600000.E+01  5069.72E-05  6874.84E-09
640000.E+01  5097.23E-05  5820.50E-09
680000.E+01  5126.18E-05  3655.36E-09
720000.E+01  5156.57E-05  2473.67E-08
760000.E+01  5187.20E-05  9800.34E-09
800000.E+01  5217.77E-05  7831.67E-09
840000.E+01  5248.11E-05  9471.42E-08
880000.E+01  5278.12E-05  1862.41E-08
920000.E+01  5310.33E-05  4263.46E-09
960000.E+01  5344.76E-05  6448.12E-09
100000.E+02  5382.56E-05  2716.31E-08
104000.E+02  5417.07E-05  6640.88E-09
108000.E+02  5451.31E-05  8103.72E-09
112000.E+02  5486.07E-05  7491.57E-09
116000.E+02  5523.44E-05  5261.55E-09
120000.E+02  5560.46E-05  1759.43E-08
124000.E+02  5591.15E-05  5173.53E-08
128000.E+02  5630.08E-05  1500.71E-08
132000.E+02  5672.45E-05  1384.47E-08
136000.E+02  5713.40E-05  1164.45E-08
140000.E+02  5751.68E-05  8484.19E-09
144000.E+02  5790.39E-05  5338.83E-09
148000.E+02  5830.53E-05  9731.10E-09
152000.E+02  5871.86E-05  7542.23E-09
156000.E+02  5917.82E-05  3671.48E-08
160000.E+02  5967.06E-05  7933.49E-09
164000.E+02  6014.41E-05  1655.71E-08
168000.E+02  6053.44E-05  8727.23E-09
172000.E+02  6099.63E-05  6670.19E-09
176000.E+02  6145.61E-05  1486.94E-08
180000.E+02  6192.43E-05  1022.15E-08
184000.E+02  6239.75E-05  5465.04E-09
188000.E+02  6292.91E-05  1221.02E-08
192000.E+02  6347.31E-05  1498.30E-08
196000.E+02  6396.82E-05  1671.91E-08
200000.E+02  6447.01E-05  2455.77E-08
204000.E+02  6501.04E-05  3587.95E-08
208000.E+02  6557.46E-05  1503.10E-08
212000.E+02  6603.64E-05  2321.09E-08
216000.E+02  6654.33E-05  1620.02E-08
220000.E+02  6706.79E-05  1547.34E-08
224000.E+02  6761.67E-05  1550.03E-08
228000.E+02  6804.12E-05  3446.00E-08
232000.E+02  6849.69E-05  1744.43E-08
236000.E+02  6890.90E-05  1623.85E-08
240000.E+02  6931.02E-05  2662.71E-08
244000.E+02  6979.08E-05  2399.48E-08
248000.E+02  6992.58E-05  4123.20E-08
252000.E+02  7020.74E-05  2113.74E-08
256000.E+02  7036.48E-05  4035.85E-08
260000.E+02  7041.49E-05  3186.99E-08
264000.E+02  7035.82E-05  3240.04E-08
268000.E+02  7000.79E-05  1817.93E-08
272000.E+02  6961.58E-05  2645.75E-08
276000.E+02  6906.56E-05  2585.99E-08
280000.E+02  6832.98E-05  2423.86E-08
284000.E+02  6723.68E-05  3947.87E-08
288000.E+02  6588.93E-05  4035.40E-08
292000.E+02  6447.20E-05  3516.85E-08
296000.E+02  6259.43E-05  3720.16E-08
300000.E+02  6040.61E-05  3760.31E-08
304000.E+02  5814.79E-05  3867.61E-08
308000.E+02  5562.12E-05  4045.83E-08
312000.E+02  5306.96E-05  4166.37E-08
316000.E+02  5061.18E-05  5274.95E-08
320000.E+02  4832.74E-05  6115.54E-08
324000.E+02  4610.61E-05  5690.88E-08
328000.E+02  4381.37E-05  6168.61E-08
332000.E+02  4162.58E-05  7575.81E-08
336000.E+02  3957.11E-05  8352.70E-08
340000.E+02  3718.55E-05  1004.97E-07
344000.E+02  3433.88E-05  1187.56E-07
348000.E+02  3109.15E-05  1508.95E-07
352000.E+02  2798.30E-05  1472.89E-07
356000.E+02  2491.63E-05  1874.72E-07
360000.E+02  2192.11E-05  2178.53E-07
364000.E+02  1944.32E-05  2592.13E-07
368000.E+02  1676.28E-05  3126.05E-07
372000.E+02  1388.05E-05  3289.11E-07
376000.E+02  1059.49E-05  3299.28E-07
380000.E+02  7236.84E-06  2798.70E-07
384000.E+02  4389.42E-06  2023.00E-07
388000.E+02  2133.98E-06  1196.13E-07
392000.E+02  7572.05E-07  4791.13E-08
396000.E+02  2037.90E-07  1560.77E-08
400000.E+02  4148.32E-08  2939.75E-09
