====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 25000.E+04 A ;
  Layer # 1- Density = 8.058E19 atoms/cm3 = .0053 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
250000.E+01  8450.66E-06  1714.05E-10
500000.E+01  8474.67E-06  1892.84E-09
750000.E+01  8492.83E-06  9806.99E-10
100000.E+02  8542.99E-06  8660.20E-09
125000.E+02  8582.65E-06  5184.98E-10
150000.E+02  8617.19E-06  8744.81E-10
175000.E+02  8652.88E-06  8154.45E-10
200000.E+02  8704.22E-06  1253.96E-09
225000.E+02  8744.44E-06  8981.55E-10
250000.E+02  8780.87E-06  9216.11E-10
275000.E+02  8825.86E-06  4387.11E-10
300000.E+02  8875.83E-06  8521.87E-10
325000.E+02  8927.72E-06  6881.43E-09
350000.E+02  8987.93E-06  5512.76E-10
375000.E+02  9035.22E-06  1004.79E-09
400000.E+02  9083.98E-06  6223.32E-10
425000.E+02  9132.78E-06  2038.04E-09
450000.E+02  9183.37E-06  3712.18E-09
475000.E+02  9233.97E-06  1418.16E-09
500000.E+02  9288.11E-06  2207.47E-09
525000.E+02  9352.47E-06  9135.79E-10
550000.E+02  9389.40E-06  1097.92E-09
575000.E+02  9444.55E-06  2898.12E-09
600000.E+02  9501.38E-06  6849.23E-10
625000.E+02  9574.59E-06  1184.08E-09
650000.E+02  9638.99E-06  1248.25E-09
675000.E+02  9700.38E-06  1616.86E-08
700000.E+02  9762.25E-06  1485.83E-09
725000.E+02  9819.53E-06  1275.80E-09
750000.E+02  9877.27E-06  1199.54E-09
775000.E+02  9937.55E-06  1204.92E-09
800000.E+02  1002.10E-05  1532.47E-09
825000.E+02  1009.80E-05  9602.77E-09
850000.E+02  1016.56E-05  4049.52E-09
875000.E+02  1023.71E-05  2109.19E-09
900000.E+02  1031.73E-05  7779.65E-10
925000.E+02  1040.52E-05  8301.12E-10
950000.E+02  1048.42E-05  9291.57E-10
975000.E+02  1057.27E-05  1132.26E-09
100000.E+03  1067.09E-05  5087.12E-09
102500.E+03  1074.14E-05  6693.92E-09
105000.E+03  1081.88E-05  2778.34E-09
107500.E+03  1092.06E-05  1406.15E-09
110000.E+03  1101.67E-05  1583.57E-09
112500.E+03  1109.64E-05  1428.75E-09
115000.E+03  1120.33E-05  1961.22E-09
117500.E+03  1133.69E-05  1026.27E-08
120000.E+03  1145.25E-05  8532.05E-09
122500.E+03  1155.25E-05  1344.53E-09
125000.E+03  1167.45E-05  9882.19E-10
127500.E+03  1179.64E-05  1108.69E-09
130000.E+03  1191.58E-05  1404.98E-09
132500.E+03  1204.18E-05  1357.82E-09
135000.E+03  1219.26E-05  1100.28E-09
137500.E+03  1234.41E-05  2296.38E-09
140000.E+03  1249.95E-05  2883.65E-09
142500.E+03  1264.80E-05  1983.64E-09
145000.E+03  1281.33E-05  2933.07E-09
147500.E+03  1300.59E-05  2699.61E-09
150000.E+03  1317.58E-05  7993.48E-09
152500.E+03  1338.98E-05  1882.51E-09
155000.E+03  1357.91E-05  2972.13E-09
157500.E+03  1384.05E-05  2321.94E-09
160000.E+03  1407.52E-05  2132.79E-09
162500.E+03  1432.26E-05  1947.57E-09
165000.E+03  1460.94E-05  1904.54E-09
167500.E+03  1492.75E-05  2766.12E-09
170000.E+03  1524.55E-05  1971.16E-09
172500.E+03  1562.83E-05  4017.10E-09
175000.E+03  1603.30E-05  2435.71E-09
177500.E+03  1649.75E-05  7340.82E-09
180000.E+03  1698.27E-05  6621.65E-09
182500.E+03  1752.19E-05  2856.81E-09
185000.E+03  1818.69E-05  4353.32E-09
187500.E+03  1890.30E-05  7308.03E-09
190000.E+03  1972.01E-05  8742.45E-09
192500.E+03  2071.01E-05  6260.50E-09
195000.E+03  2183.31E-05  6910.47E-09
197500.E+03  2313.25E-05  5481.44E-09
200000.E+03  2450.89E-05  8452.06E-09
202500.E+03  2575.23E-05  8072.75E-09
205000.E+03  2640.48E-05  1027.51E-08
207500.E+03  2561.89E-05  1540.29E-08
210000.E+03  2259.33E-05  2496.89E-08
212500.E+03  1722.28E-05  3911.45E-08
215000.E+03  1037.38E-05  4727.75E-08
217500.E+03  4243.69E-06  3383.74E-08
220000.E+03  1047.40E-06  1226.54E-08
222500.E+03  1302.35E-07  2066.41E-09
225000.E+03  7626.60E-09  1667.99E-10
227500.E+03  0000.00E+00  0000.00E+00
230000.E+03  0000.00E+00  0000.00E+00
232500.E+03  0000.00E+00  0000.00E+00
235000.E+03  0000.00E+00  0000.00E+00
237500.E+03  0000.00E+00  0000.00E+00
240000.E+03  0000.00E+00  0000.00E+00
242500.E+03  0000.00E+00  0000.00E+00
245000.E+03  0000.00E+00  0000.00E+00
247500.E+03  0000.00E+00  0000.00E+00
250000.E+03  0000.00E+00  0000.00E+00
