0.01,2.02E-02,,,
0.02,2.02E-02,,,
0.03,2.03E-02,,,
0.04,2.04E-02,,,
0.05,2.05E-02,,,
0.06,2.06E-02,,,
0.07,2.07E-02,,,
0.08,2.08E-02,,,
0.09,2.09E-02,,,
0.1,2.10E-02,,,
0.11,2.11E-02,,,
0.12,2.13E-02,,,
0.13,2.14E-02,,,
0.14,2.15E-02,,,
0.15,2.16E-02,,,
0.16,2.18E-02,,,
0.17,2.19E-02,,,
0.18,2.20E-02,,,
0.19,2.22E-02,,,
0.2,2.23E-02,,,
0.21,2.24E-02,,,
0.22,2.26E-02,,,
0.23,2.27E-02,,,
0.24,2.29E-02,,,
0.25,2.30E-02,,,
0.26,2.32E-02,,,
0.27,2.33E-02,,,
0.28,2.35E-02,,,
0.29,2.37E-02,,,
0.3,2.39E-02,,,
0.31,2.41E-02,,,
0.32,2.42E-02,,,
0.33,2.44E-02,,,
0.34,2.46E-02,,,
0.35,2.48E-02,,,
0.36,2.49E-02,,,
0.37,2.51E-02,,,
0.38,2.53E-02,,,
0.39,2.55E-02,,,
0.4,2.57E-02,,,
0.41,2.59E-02,,,
0.42,2.62E-02,,,
0.43,2.64E-02,,,
0.44,2.66E-02,,,
0.45,2.69E-02,,,
0.46,2.71E-02,,,
0.47,2.73E-02,,,
0.48,2.75E-02,,,
0.49,2.77E-02,,,
0.5,2.79E-02,,,
0.51,2.82E-02,,,
0.52,2.85E-02,,,
0.53,2.87E-02,,,
0.54,2.89E-02,,,
0.55,2.91E-02,,,
0.56,2.92E-02,,,
0.57,2.94E-02,,,
0.58,2.96E-02,,,
0.59,2.97E-02,,,
0.6,2.97E-02,,,
0.61,2.98E-02,,,
0.62,2.98E-02,,,
0.63,2.97E-02,,,
0.64,2.96E-02,,,
0.65,2.93E-02,,,
0.66,2.90E-02,,,
0.67,2.85E-02,,,
0.68,2.79E-02,,,
0.69,2.72E-02,,,
0.7,2.63E-02,,,
0.71,2.54E-02,,,
0.72,2.43E-02,,,
0.73,2.32E-02,,,
0.74,2.21E-02,,,
0.75,2.10E-02,,,
0.76,2.00E-02,,,
0.77,1.90E-02,,,
0.78,1.80E-02,,,
0.79,1.71E-02,,,
0.8,1.60E-02,,,
0.81,1.47E-02,,,
0.82,1.33E-02,,,
0.83,1.19E-02,,,
0.84,1.05E-02,,,
0.85,9.24E-03,,,
0.86,8.02E-03,,,
0.87,6.83E-03,,,
0.88,5.47E-03,,,
0.89,4.01E-03,,,
0.9,2.55E-03,,,
0.91,1.36E-03,,,
0.92,5.36E-04,,,
0.93,1.66E-04,,,
0.94,3.90E-05,,,
0.95,6.57E-06,,,
0.96,2.07E-07,,,
0.97,0.00E+00,,,
0.98,0.00E+00,,,
0.99,0.00E+00,,,
1,0.00E+00,,,
